标题,描述,时长,播放量,累计弹幕数量,发布时间,点赞,投币,收藏,转载
【何同学】我找到了我最喜欢的数码产品，但是...,"
                    因为疫情原因很多零件没有到位，视频中的Voron 0.1在拍摄时并没有安装完成。
大部分打印机都是零件发货，但是有一些打印机是整机发货的。
本视频中出现的烧坏的手机屏幕为后期处理，没有任何一部手机在拍摄过程中受到了伤害。
有一些机型的打印机其实没有热床，但是大部分打印机都配备了热床。
不要用手摸打印机的喷嘴。 
视频中出现的dactyl键盘并没有底座，因为加上底座后键盘声音明显更大了。所以采用了直接在壳的下面贴防滑垫的形式。分体式人体工学键盘其实AngryMiao有卖，但是那个太贵了。
视频中遥控器的外壳
                  ",12:10,"1033.5万
                    ","4万
                    ","2022-4-17
                    ","149.2万
    ","
      169.8万
    ","46.6万
    ","6.5万
      "
【何同学】我用108天开了个灯......,"
                    这个视频真的让我学习到很多 
大家看完这个视频可能会有一种“就这？”的疑问，但是考虑到我在这个项目开始前怎么反转直流电机都不知道，我已经尽力了。我3D打印的水平比开始前强了很多 知道了PID是啥 实践了几种传动结构 虽然周期比预期长了很多 但是很高兴做了这期视频 
人生经验：最好不要直接用树莓派的GPIO控制各种传感器和舵机 因为它很容易烧掉 最好还是用树莓派给Arduino发指令控制传感器和舵机 组装镜头中之所以配拿锤子砸东西的画面，是因为想玩一个自己被锤子砸到的梗，往墙上装篮框并不需要锤子 Lidar
                  ",8:20,"1106.9万
                    ","6.6万
                    ","2022-2-2
                    ","128.3万
    ","
      87.8万
    ","25.5万
    ","6.8万
      "
【何同学】我做了苹果放弃的产品...,"
                    非常感谢装机猿老师的帮助
如果你想做一个AirPower，单纯的像视频里一样把线圈堆积起来是不行的，因为线圈间存在干扰。你需要一个控制板集中控制线圈的通断才可以。我也是焊了二十几个线圈才明白这个道理。
为了配合旁白，视频中电机的速度有在后期加速和减速，并不能代表桌子的实际运行速度
这个方案有一个很大的问题 就是无线线圈对屏幕会有干扰 你在视频里应该也能看到一点干扰的痕迹
                  ",7:48,"2193.2万
                    ","7.6万
                    ","2021-10-17
                    ","289.9万
    ","
      299.5万
    ","91.7万
    ","41.9万
      "
【何同学】永远是同学,"
                    制片：九老师
翻页书：Flashcat闪电猫
翻页书动画：超级小树
动画：Joyteeth 小步乱撞
音效：Jimmy
感谢巡天者叶梓颐 狂奔的茄子指导我星空摄影 感谢SmallRig帮我打不锈钢云台 
感谢俺的好室友80 阿范和我弟帮我拍视频
3D动画中的PCB板没有元器件，因为实在是没时间往上画了
结尾“毕业快乐”的星空动画并不是在学校里拍摄的
                  ",7:36,"1083.8万
                    ","10.4万
                    ","2021-7-25
                    ","179.0万
    ","
      176.3万
    ","47.9万
    ","12.1万
      "
【何同学】2021年了，AR眼镜可以做什么？,"
                    在Hololens上也有和Magic Leap一样的心脏跳动软件。但是因为微软在第二代的时候更换了架构，所以无法使用。所以我也不知道画质咋样。我滚回去做毕设了

YouTube：youtube.com/c/hetongxue
                  ",12:14,"926.9万
                    ","4.2万
                    ","2021-4-9
                    ","107.1万
    ","
      96.6万
    ","24.3万
    ","4.3万
      "
【何同学】整理自己的生活（P2附库克采访）,"
                    制片：九老师
剪辑：贰_33、小纯
采访包装：小梦
动画：joyteeth
手绘海报：绵羊
感谢我姐我弟来我家贴纸

BGM：
Brand new day - Kyle McEvoy
Old school - Virgil Arles
Good Mood - Heartbreak kid
Rescue - One Hundred Years

YouTube：youtube.com/c/hetongxue
                  ",27:43:00,"1069.2万
                    ","12万
                    ","2021-2-17
                    ","123.8万
    ","
      117.8万
    ","35.1万
    ","11.6万
      "
【何同学】这视频能让你戒手机,"
                    制片：九老师
动画：Joyteeth 无聊的阿祝
特效：flashyami
声效：Jimmy Hung Fer
剪辑：贰_33
时间锁
开发：年纪轻轻
UI：星期五的哥哥
统筹：许之行
感谢做出时间锁的朋友、韩老师的调研指导、参加调研的朋友、银翼的魔术师MX搭建网站
壁纸：无聊的阿祝 G195潮流壁纸
本视频的戒手机方法参考了《这书能让你戒烟》和《How To Break Up With Your Phone》两本书籍，推荐给大家。
YouTube：youtube.com/c/hetongxue
                  ",12:18,"1257.6万
                    ","9.7万
                    ","2021-1-6
                    ","165.9万
    ","
      172.3万
    ","67.3万
    ","20.9万
      "
【何同学】80年代的电脑能做什么？苹果麦金塔深度体验,"
                    简介 ：
制片：九老师
给麦金塔上网 顾问：paizhangpi
动画：joyteeth
像素画：石西籽
感谢阿范来帮我拍视频
感谢程序猿旺旺带我逛创业博物馆
感谢排长给我讲山西高速公路的故事
感谢蘑菇 远哥的帮助
能认识大家是我的荣幸
YouTube：youtube.com/c/hetongxue
                  ",11:10,"1162.7万
                    ","7万
                    ","2020-11-5
                    ","163.4万
    ","
      189.6万
    ","50.0万
    ","9.9万
      "
【何同学】“看不见”的未来 小米透明电视使用体验,"
                    动画：joyteeth yami
特效：flashyami
感谢九老师对本期视频的巨大帮助！
YouTube：youtube.com/c/hetongxue
                  ",5:31,"826.4万
                    ","3万
                    ","2020-8-30
                    ","81.9万
    ","
      40.9万
    ","9.9万
    ","2.3万
      "
【何同学】我拍了一张600万人的合影...,"
                    3D动画：joyteeth
开头特效：flashyami
制片：九老师
感谢木头老师对本期全景拍摄的帮助，感谢我弟，chq和gzs不能没有篮球 来我家帮忙贴纸！谢谢大家的努力与热情！
YouTube：youtube.com/c/hetongxue
                  ",10:33,"1543.5万
                    ","13.8万
                    ","2020-8-2
                    ","189.8万
    ","
      189.7万
    ","54.1万
    ","15.8万
      "
